Target_genes	Sox5|Average	SRX104233|Limbs_and_tails	SRX104234|Limbs_and_tails	STRING
Olfr806	906.000000	787	1025	0
Tcstv3	883.000000	860	906	0
Abhd6	871.000000	877	865	0
Wwox	803.500000	720	887	0
Kpna1	630.500000	736	525	0
Cldn34d	597.500000	552	643	0
Esr1	550.000000	514	586	0
Oasl1	513.500000	502	525	0
Znhit1	431.000000	404	458	0
Plod3	431.000000	404	458	0
Tent5c	389.000000	277	501	0
Cbr3	389.000000	398	380	0
Il31ra	388.000000	418	358	0
Csf2ra	386.500000	393	380	0
Brox	340.000000	291	389	0
Aida	340.000000	291	389	0
Asmt	325.000000	305	345	0
Tmem125	324.000000	357	291	0
Crebzf	300.500000	236	365	0
Fnbp1	297.000000	343	251	0
Vmn2r102	275.500000	330	221	0
Fam227b	274.500000	378	171	0
Dtwd1	274.500000	378	171	0
Cdrt4	263.500000	271	256	0
Cdh12	263.500000	271	256	0
Vmn2r4	259.000000	0	518	0
Rps29	244.000000	257	231	0
Zfp563	228.500000	236	221	0
Exo5	226.000000	219	233	0
Sbno2	223.500000	153	294	0
Sox5	214.000000	202	226	0
Plekhg1	211.500000	219	204	0
Gpsm3	207.000000	0	414	0
Trrap	206.500000	202	211	0
Prkdc	203.500000	236	171	0
Plk1	202.000000	233	171	0
Itih5	195.500000	236	155	0
Ptpn6	186.500000	202	171	0
Alg9	175.500000	169	182	0
Zrsr1	175.000000	168	182	0
Commd1	175.000000	168	182	0
Dchs2	166.000000	122	210	0
Gcgr	160.000000	0	320	0
Copz1	155.000000	0	310	0
Rasip1	146.000000	292	0	0
Izumo1	146.000000	292	0	0
Sspn	139.000000	137	141	0
Nemf	131.500000	263	0	0
Tmem115	124.000000	0	248	0
Scn8a	110.000000	0	220	0
Tmem267	105.000000	0	210	0
Stap2	102.000000	0	204	0
Mpnd	102.000000	0	204	0
Klrb1b	101.000000	202	0	0
Zfp598	92.500000	185	0	0
Naa50	92.500000	185	0	0
Ifna13	92.500000	185	0	0
D5Ertd579e	92.500000	185	0	0
Unc45b	90.500000	181	0	0
Nle1	90.500000	181	0	0
Bmyc	88.000000	176	0	0
S100a6	85.500000	0	171	0
Stk19	84.500000	169	0	0
Dxo	84.500000	169	0	0
Zfp143	80.000000	0	160	0
Fbxl19	78.500000	0	157	0
Cplx4	77.500000	0	155	0
Mtres1	76.500000	153	0	0
Hdlbp	76.500000	153	0	0
Grid2ip	76.500000	153	0	0
Ftsj1	76.500000	153	0	0
Rpl23a	76.000000	0	152	0
Rab34	76.000000	0	152	0
Cd163l1	46.500000	0	93	0
Tnfsf11	0.000000	0	0	426
Mmp9	0.000000	0	0	418
