Target_genes	Thrb|Average	SRX150788|C17-2	STRING
Fam227b	541.000000	541	0
Dtwd1	541.000000	541	0
Rps29	481.000000	481	0
Nemf	452.000000	452	0
Cldn34d	446.000000	446	0
Oasl1	434.000000	434	0
Brox	423.000000	423	0
Aida	423.000000	423	0
Kpna1	377.000000	377	0
Malt1	370.000000	370	0
Wwox	352.000000	352	0
Csf2ra	351.000000	351	0
Prkdc	334.000000	334	0
Esr1	298.000000	298	0
Abhd6	298.000000	298	0
Tcstv3	297.000000	297	0
Rasip1	281.000000	281	0
Izumo1	281.000000	281	0
Cdh12	281.000000	281	0
Tmem125	267.000000	267	0
Olfr806	260.000000	260	0
Vstm4	213.000000	213	0
Asrgl1	181.000000	181	0
Zfp821	164.000000	164	0
Msh3	158.000000	158	0
Dhfr	158.000000	158	0
Zfp143	149.000000	149	0
Il31ra	149.000000	149	0
Vmn2r102	126.000000	126	0
Eef2	97.000000	97	0
Asmt	88.000000	88	0
Chd3	68.000000	68	0
